Time,Reporter,Type,Content,Screenshot,RTF Note
2016-11-23 18:51:48,Rafał Szmigiel,(Rapid Reporter version),"1.16.05.20",,
2016-11-23 18:51:48,Rafał Szmigiel,Session Reporter,"Rafał Szmigiel",,
2016-11-23 18:51:48,Rafał Szmigiel,Session Charter,"Chcę po zalogowaniu móc przejść do widoku swojego profilu.",,
2016-11-23 18:52:39,Rafał Szmigiel,autogenerated,"screenshot saved",1_20161123_185239.jpg,
2016-11-23 18:53:17,Rafał Szmigiel,Test,"Logowanie jako administrator.",1_20161123_185239.jpg,
2016-11-23 18:53:34,Rafał Szmigiel,autogenerated,"screenshot saved",2_20161123_185334.jpg,
2016-11-23 18:57:23,Rafał Szmigiel,autogenerated,"screenshot saved",3_20161123_185723.jpg,
2016-11-23 18:57:25,Rafał Szmigiel,Note,"Po kliknieciu na awatar moge przejsc do profilu.",3_20161123_185723.jpg,
2016-11-23 19:01:05,Rafał Szmigiel,autogenerated,"screenshot saved",4_20161123_190105.jpg,
2016-11-23 19:01:57,Rafał Szmigiel,Note,"Mam dostep do edycji danych uzytkownika.",4_20161123_190105.jpg,
2016-11-23 19:02:22,Rafał Szmigiel,autogenerated,"screenshot saved",5_20161123_190222.jpg,
2016-11-23 19:02:41,Rafał Szmigiel,Note,"Moge zmienic avatar uzytkownika.",5_20161123_190222.jpg,
2016-11-23 19:04:27,Rafał Szmigiel,Note,"W profilu jest informacja o rodzaju konta uzytkownika (administrator/zwykły uzytkownik).",,
2016-11-23 19:06:20,Rafał Szmigiel,autogenerated,"screenshot saved",6_20161123_190620.jpg,
2016-11-23 19:06:58,Rafał Szmigiel,Note,"Projekty sa ''klikalne'' i mozemy do nich przejsc.",6_20161123_190620.jpg,
2016-11-23 19:10:57,Rafał Szmigiel,Session End. Duration,"00:19:09",,
